Center, E[Ts], E[Tq], E[s], E[Ns], E[Nq], ρ, λ
LUGGAGE CHECK 1,-0.5031446540880502,-5.50314465408805,5.0,-1.1006289308176098,-12.03812893081761,10.9375,2.1875
LUGGAGE CHECK 2,-0.5031446540880502,-5.50314465408805,5.0,-1.1006289308176098,-12.03812893081761,10.9375,2.1875
LUGGAGE CHECK 3,-0.5031446540880502,-5.50314465408805,5.0,-1.1006289308176098,-12.03812893081761,10.9375,2.1875
CHECK-IN TARGET,10.515549460944747,0.5155494609447473,3.3333333333333335,1.0972318640654537,0.05379436406545348,0.3478125000000001,0.10434375000000001
CHECK-IN OTHERS 1,0.008103110563933313,-9.991896889436067,3.3333333333333335,0.9942919285252322,-1226.0553955714747,409.0165625,122.70496875
CHECK-IN OTHERS 2,0.008103110563933313,-9.991896889436067,3.3333333333333335,0.9942919285252322,-1226.0553955714747,409.0165625,122.70496875
CHECK-IN OTHERS 3,0.008103110563933313,-9.991896889436067,3.3333333333333335,0.9942919285252322,-1226.0553955714747,409.0165625,122.70496875
CHECK-IN OTHERS 4,0.008103110563933313,-9.991896889436067,3.3333333333333335,0.9942919285252322,-1226.0553955714747,409.0165625,122.70496875
CHECK-IN OTHERS 5,0.008103110563933313,-9.991896889436067,3.3333333333333335,0.9942919285252322,-1226.0553955714747,409.0165625,122.70496875
CHECK-IN OTHERS 6,0.008103110563933313,-9.991896889436067,3.3333333333333335,0.9942919285252322,-1226.0553955714747,409.0165625,122.70496875
CHECK-IN OTHERS 7,0.008103110563933313,-9.991896889436067,3.3333333333333335,0.9942919285252322,-1226.0553955714747,409.0165625,122.70496875
CHECK-IN OTHERS 8,0.008103110563933313,-9.991896889436067,3.3333333333333335,0.9942919285252322,-1226.0553955714747,409.0165625,122.70496875
CHECK-IN OTHERS 9,0.008103110563933313,-9.991896889436067,3.3333333333333335,0.9942919285252322,-1226.0553955714747,409.0165625,122.70496875
CHECK-IN OTHERS 10,0.008103110563933313,-9.991896889436067,3.3333333333333335,0.9942919285252322,-1226.0553955714747,409.0165625,122.70496875
CHECK-IN OTHERS 11,0.008103110563933313,-9.991896889436067,3.3333333333333335,0.9942919285252322,-1226.0553955714747,409.0165625,122.70496875
CHECK-IN OTHERS 12,0.008103110563933313,-9.991896889436067,3.3333333333333335,0.9942919285252322,-1226.0553955714747,409.0165625,122.70496875
CHECK-IN OTHERS 13,0.008103110563933313,-9.991896889436067,3.3333333333333335,0.9942919285252322,-1226.0553955714747,409.0165625,122.70496875
CHECK-IN OTHERS 14,0.008103110563933313,-9.991896889436067,3.3333333333333335,0.9942919285252322,-1226.0553955714747,409.0165625,122.70496875
CHECK-IN OTHERS 15,0.008103110563933313,-9.991896889436067,3.3333333333333335,0.9942919285252322,-1226.0553955714747,409.0165625,122.70496875
CHECK-IN OTHERS 16,0.008103110563933313,-9.991896889436067,3.3333333333333335,0.9942919285252322,-1226.0553955714747,409.0165625,122.70496875
CHECK-IN OTHERS 17,0.008103110563933313,-9.991896889436067,3.3333333333333335,0.9942919285252322,-1226.0553955714747,409.0165625,122.70496875
CHECK-IN OTHERS 18,0.008103110563933313,-9.991896889436067,3.3333333333333335,0.9942919285252322,-1226.0553955714747,409.0165625,122.70496875
CHECK-IN OTHERS 19,0.008103110563933313,-9.991896889436067,3.3333333333333335,0.9942919285252322,-1226.0553955714747,409.0165625,122.70496875
SCAN BOARDING PASS,-0.05332765553217089,-1.053327655532171,0.3333333333333333,-0.3499627394298715,-6.912462739429872,2.1875,6.5625
SECURITY CHECKS,0.25588826335734627,-4.744111736642654,1.25,1.6792667282825848,-31.133233271717415,8.203125,6.5625
PASSPORT CHECKS,1.370602552067838,-3.629397447932162,0.20833333333333334,7.1956633983561495,-19.05433660164385,1.09375,5.25
STAMP CHECK,-0.23529411764705888,-1.2352941176470589,1.0,-1.235294117647059,-6.485294117647059,5.25,5.25
BOARDING,-0.07467686188716627,-2.0746768618871663,1.0,-0.3936119376691307,-10.93534943766913,5.27086875,5.27086875
